Variable,Value,k=0,k=1,k=2,k=3
s1,6.610696135189607e-05,6.610696135189607e-05,4.5533391713862036e-05,3.531030338803179e-05,-0.00014695065645378987
s2,0.2548331682783817,0.2548331682783817,0.04567871565577005,-0.013339871363042316,-0.2871720125711094
s3,0.5265905584865301,0.5265905584865301,-0.1918186622902707,-0.1309555644065936,-0.20381633178966588
s4,0.9999338930386481,0.9999338930386482,-1.310865295658608,0.4673694014447216,-0.1564379988247616
s5,0.0981276988865813,0.0981276988865813,0.048343634288637534,0.025738496984614587,-0.17220983015983338
